Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
RNF186	FLJ20225	ENSG00000178828	"Ring finger protein 186"	Q9NXI6	1	19814029-19815283	"Enzymes, Predicted membrane proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"epididymis: 65.7;intestine: 127.3;pancreas: 42.2"	"Group enriched"	"Detected in some"	7	"Distal enterocytes: 71.0;Enteroendocrine cells: 120.2;Intestinal goblet cells: 43.0;Paneth cells: 137.3;Proximal tubular cells: 90.7;Undifferentiated cells: 83.8"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Colon Adenocarcinoma (TCGA): 20.9;Kidney Renal Clear Cell Carcinoma (TCGA): 24.5;Rectum Adenocarcinoma (TCGA): 21.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 3.2;ovarian cancer: 1.0"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Not detected"	"Not detected"							"HPA034547, HPA035558"	Enhanced						NA	NA				"Cluster 53: Non-specific - Glycosylation"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	4			"HPA034547: AB_10670975, HPA035558: AB_2674678"	"unprognostic (1.78e-1)"		"unprognostic (2.59e-1)"		"unprognostic (1.18e-1)"	"unprognostic (4.52e-3)"					"unprognostic (1.70e-6)"	"unprognostic (1.41e-3)"	"unprognostic (9.14e-2)"			"unprognostic (1.29e-1)"						"unprognostic (2.15e-1)"	"unprognostic (1.22e-1)"		"unprognostic (2.39e-1)"	"unprognostic (1.40e-1)"		"unprognostic (1.92e-1)"			
RNF212	"FLJ38841, LOC285498"	ENSG00000178222	"Ring finger protein 212"	Q495C1	4	1056250-1113564	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Meiosis, Ubl conjugation pathway"	Transferase		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in many"		"pancreas: 8.9"	"Cell type enhanced"	"Detected in many"		"Distal tubular cells: 24.6;Oocytes: 60.3;Ovarian stromal cells: 25.8;Spermatocytes: 53.2;Spermatogonia: 39.7"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 8.8;Ovary Serous Cystadenocarcinoma (TCGA): 8.4"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 24.9;Gallbladder cancer: 27.8"	"Skeletal muscle - Fibroblasts"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA057527	Uncertain						NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 46: Testis - Spermatogenesis"	"Cluster 15: Non-specific - Transcription"	"Cluster 4: Non-specific - Transcription"	"Cluster 6: Ovarian stromal cells - Transcription"				"HPA057527: AB_2683457"		"unprognostic (2.95e-2)"	"unprognostic (7.52e-2)"	"unprognostic (2.18e-2)"		"unprognostic (2.49e-1)"			"unprognostic (6.64e-3)"	"unprognostic (1.95e-2)"	"unprognostic (9.16e-2)"	"unprognostic (2.76e-1)"	"unprognostic (2.66e-1)"			"unprognostic (9.37e-2)"	"unprognostic (1.25e-2)"	"unprognostic (5.18e-2)"	"unprognostic (2.06e-1)"	"unprognostic (1.89e-1)"	"unprognostic (4.13e-2)"		"unprognostic (1.34e-1)"	"unprognostic (7.24e-2)"		"unprognostic (5.39e-2)"			"unprognostic (3.24e-1)"	"unprognostic (4.78e-2)"	"unprognostic (1.83e-1)"
RPH3AL	Noc2	ENSG00000181031	"Rabphilin 3A like (without C2 domains)"	Q9UNE2	17	212389-386254	"Predicted intracellular proteins"	Exocytosis			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 51.0;pituitary gland: 43.2"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 32.0;Alveolar cells type 2: 34.4;Hepatocytes: 40.5"	"Cell type enhanced"	"Detected in all"		"endothelial cell: 49.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Pituitary gland - Somatotropes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA024311	Approved						NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 68: Non-specific - Protein processing"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 72: Alveolar cells - Lung function"	10			"HPA024311: AB_1856429"	"unprognostic (1.48e-1)"	"unprognostic (1.17e-3)"	"unprognostic (5.96e-3)"	"unprognostic (5.88e-5)"	"unprognostic (4.73e-1)"	"unprognostic (3.02e-1)"	"unprognostic (2.84e-2)"		"unprognostic (2.41e-1)"	"unprognostic (3.50e-2)"	"unprognostic (7.31e-5)"	"unprognostic (6.41e-2)"	"unprognostic (6.85e-2)"	"unprognostic (6.93e-2)"	"unprognostic (5.40e-3)"	"unprognostic (1.69e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.33e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.93e-1)"	"unprognostic (9.12e-2)"	"unprognostic (4.17e-2)"	"unprognostic (3.54e-1)"	"unprognostic (1.39e-1)"	"unprognostic (2.06e-1)"	"unprognostic (1.65e-3)"		"unprognostic (2.28e-1)"	"unprognostic (1.58e-1)"	"unprognostic (3.93e-1)"	"unprognostic (1.21e-1)"
RRBP1	"ES/130, hES, p180"	ENSG00000125844	"Ribosome binding protein 1"	Q9P2E9	20	17613678-17682295	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Protein transport, Translocation, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"pancreas: 482.3"	"Cell type enhanced"	"Detected in all"		"dendritic cells: 719.5"	"Cell type enhanced"	"Detected in all"		"committed oligodendrocyte precursor: 133.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"eosinophil: 38.6;plasmacytoid DC: 44.4"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Minor Salivary Gland - Minor salivary glandular cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA009026, HPA011924"	Enhanced		Enhanced	"Endoplasmic reticulum"			NA	NA		1400000	"Cluster 29: Non-specific - Unknown function"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 30: White matter - Myelination"	"Cluster 63: Non-specific - Protein processing"	"Cluster 77: Plasma cells - Protein processing"	23	"Endoplasmic reticulum"		"HPA009026: AB_1079852, HPA011924: AB_1856476"	"unprognostic (3.32e-1)"	"unprognostic (7.21e-4)"	"unprognostic (1.35e-2)"	"unprognostic (5.25e-5)"	"unprognostic (1.07e-1)"	"unprognostic (1.76e-2)"	"unprognostic (1.94e-1)"	"unprognostic (9.26e-5)"	"unprognostic (1.62e-1)"	"unprognostic (7.35e-2)"	"unprognostic (3.78e-2)"	"unprognostic (5.39e-4)"	"unprognostic (8.94e-3)"	"unprognostic (3.22e-2)"	"unprognostic (2.84e-1)"	"unprognostic (2.52e-1)"	"unprognostic (1.72e-1)"	"unprognostic (2.64e-3)"	"unprognostic (4.90e-2)"	"unprognostic (1.30e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.71e-1)"	"unprognostic (2.56e-3)"	"unprognostic (3.93e-1)"	"unprognostic (4.39e-1)"	"unprognostic (1.93e-1)"	"unprognostic (7.65e-2)"	"unprognostic (2.89e-2)"	"unprognostic (3.98e-1)"	"unprognostic (1.67e-1)"	"unprognostic (4.46e-2)"
SCGB1C1	RYD5	ENSG00000188076	"Secretoglobin family 1C member 1"	Q8TD33	11	193078-194575	"Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"pancreas: 1.4;retina: 3.3;salivary gland: 1.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Ovary Serous Cystadenocarcinoma (TCGA): 1.2"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	32	"basophil: 4.9;neutrophil: 1.3"	"Lineage enriched"	"Detected in single"	50	"granulocytes: 4.9"	"Not detected"	"Not detected"																	"Secreted - unknown location"	"No annotated function"	NA	NA			"Cluster 4: Neutrophils - Degranulation"	"Cluster 76: Retina - Visual perception"	"Cluster 15: Non-specific - Transcription"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 57: Platelets - Hemostasis"																								"unprognostic (4.75e-2)"											
SCGB1C2		ENSG00000268320	"Secretoglobin family 1C member 2"	P0DMR2	17	137569-139067	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"pancreas: 1.4"	"Group enriched"	"Detected in some"	6	"Late spermatids: 1.0;Muller glia cells: 3.1"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"Ovary Serous Cystadenocarcinoma (TCGA): 1.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																	"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 39: Retina & Testis - Cilium"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 57: Platelets - Hemostasis"																								"unprognostic (1.33e-1)"											
SCGB2B2	"SCGB4A2, SCGBL"	ENSG00000205209	"Secretoglobin family 2B member 2"	Q4G0G5	19	34590644-34677159	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"pancreas: 8.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 60.4;Excitatory neurons: 31.7;Inhibitory neurons: 43.4;Late spermatids: 32.9;Microglial cells: 17.0;Oligodendrocyte precursor cells: 49.5;Oligodendrocytes: 96.8"	"Low cell type specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Skin - Eccrine sweat gland cells, Testis - Late spermatids"									HPA046806	Uncertain				"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 6: Non-specific - Immune response"	"Cluster 4: Non-specific - Transcription"	"Cluster 8: Neurons - Neuronal signaling"	1			"HPA046806: AB_10962373"																															
SCGN	"CALBL, DJ501N12.8, SECRET, SEGN"	ENSG00000079689	"Secretagogin, EF-hand calcium binding protein"	O76038	6	25652201-25701783	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 43.6;pancreas: 45.6;pituitary gland: 34.1"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 103.0;Enteroendocrine cells: 475.4;Pancreatic endocrine cells: 129.0"	"Cell type enriched"	"Detected in some"	4	"cerebellar inhibitory: 199.3"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Clear Cell Carcinoma (TCGA): 41.6;Pancreatic Adenocarcinoma (TCGA): 47.4"	"Group enriched"	"Detected in many"	6	"cerebellum: 35.9;hippocampal formation: 28.2;hypothalamus: 92.9"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"Gastric cancer: 8.1;lung cancer: 19.8;Neuroblastoma: 6.9;prostate cancer: 9.7;thyroid cancer: 7.0"	"Colon - Colon enteroendocrine cells, Pituitary gland - Somatotropes, Testis - Spermatogonia"	"Region enriched"	"Detected in many"	16	"olfactory bulb: 82.0"	"Region enriched"	"Detected in many"	10	"olfactory bulb: 183.0"	"CAB004005, HPA006641, CAB044060, CAB062563, CAB068232"	Enhanced	Supported	Supported	Cytosol	"Intracellular and membrane"	"No annotated function"	NA	NA				"Cluster 32: Endocrine & Neural - Unknown function"	"Cluster 16: Non-specific - Transcription"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 20: Enteroendocrine cells - Hormone signaling"	48	Cytosol		"CAB004005: , CAB044060: , CAB062563: AB_2665612, CAB068232: AB_2665613, HPA006641: AB_1079874"		"unprognostic (5.58e-2)"	"unprognostic (3.14e-1)"				"unprognostic (4.70e-2)"				"unprognostic (1.29e-6)"	"unprognostic (1.15e-5)"	"unprognostic (1.50e-1)"	"unprognostic (5.24e-3)"	"unprognostic (4.21e-3)"		"unprognostic (4.84e-1)"	"unprognostic (3.64e-1)"				"unprognostic (1.42e-2)"	"unprognostic (7.17e-2)"	"unprognostic (4.39e-1)"		"unprognostic (1.34e-1)"		"unprognostic (3.00e-2)"			
SCTR		ENSG00000080293	"Secretin receptor"	P47872	2	119439843-119525301	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"intestine: 25.8;pancreas: 66.0"	"Group enriched"	"Detected in some"	5	"Alveolar cells type 2: 29.6;Ductal cells: 96.2;Exocrine glandular cells: 95.2;Pancreatic endocrine cells: 28.9"	"Cell type enhanced"	"Detected in some"		"CGE interneuron: 5.9;mammillary body: 8.3"	"Cancer enhanced"	"Detected in many"		"Lung Adenocarcinoma (TCGA): 11.7;Pancreatic Adenocarcinoma (TCGA): 25.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.1"	"Pituitary gland - Thyrotropes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA007269	Uncertain						NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 37: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 45: Non-specific - Mixed function"				"HPA007269: AB_1856640"			"unprognostic (2.66e-2)"							"unprognostic (5.77e-2)"	"unprognostic (2.70e-2)"	"unprognostic (2.37e-2)"		"unprognostic (3.04e-1)"	"unprognostic (2.37e-2)"	"unprognostic (1.76e-2)"	"unprognostic (1.36e-1)"	"unprognostic (4.29e-2)"	"unprognostic (1.54e-1)"			"unprognostic (1.18e-1)"	"unprognostic (3.42e-1)"					"unprognostic (4.79e-3)"			"unprognostic (4.51e-2)"
SDK1	FLJ31425	ENSG00000146555	"Sidekick cell adhesion molecule 1"	Q7Z5N4	7	3301252-4269000	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 12.1"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 214.8;Inhibitory neurons: 529.2;Late spermatids: 195.3;Microglial cells: 192.3;Oligodendrocyte precursor cells: 105.2"	"Cell type enhanced"	"Detected in all"		"hippocampal CA4: 1871.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Skin - Fibroblast_2, Spleen - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA011392	Approved		Approved	Cytosol			NA	NA		8600000		"Cluster 68: Non-specific - Protein processing"	"Cluster 29: Forebrain - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"		Cytosol		"HPA011392: AB_1856648"	"unprognostic (1.47e-2)"	"unprognostic (6.82e-2)"	"unprognostic (1.53e-2)"	"unprognostic (2.05e-3)"		"unprognostic (1.58e-1)"	"unprognostic (1.56e-2)"	"unprognostic (5.86e-2)"	"unprognostic (4.46e-2)"	"unprognostic (3.29e-2)"	"unprognostic (6.06e-4)"	"unprognostic (7.08e-2)"	"unprognostic (1.53e-2)"			"unprognostic (4.57e-3)"	"unprognostic (8.79e-4)"	"unprognostic (1.83e-1)"	"unprognostic (1.50e-2)"	"unprognostic (1.48e-1)"	"unprognostic (3.54e-1)"	"unprognostic (3.21e-3)"	"unprognostic (3.04e-2)"	"unprognostic (9.65e-2)"		"unprognostic (2.61e-3)"	"unprognostic (8.88e-2)"	"unprognostic (2.72e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.53e-1)"
SERPINE3		ENSG00000253309	"Serpin family E member 3"	A8MV23	13	51335773-51364735	"Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"pancreas: 1.2;retina: 1.7"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 1.5;Early spermatids: 2.6;Excitatory neurons: 2.2;Inhibitory neurons: 1.9;Mesothelial cells: 4.3;Oligodendrocyte precursor cells: 2.4;Oligodendrocytes: 2.3;Spermatocytes: 2.3"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in single"			"Adipose visceral - Mesothelial cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA051904, HPA055804"	Uncertain				"Secreted in other tissues"	"Enzyme inhibitor"	NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 15: Non-specific - Transcription"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 50: Connective tissue cells - ECM organization"				"HPA051904: AB_2681659, HPA055804: AB_2682928"			"unprognostic (6.06e-2)"																												
SHC2	"SCK, SHCB, SLI"	ENSG00000129946	"SHC adaptor protein 2"	P98077	19	416589-461033	"Predicted intracellular proteins, RAS pathway related proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 106.6"	"Cell type enhanced"	"Detected in many"		"Exocrine glandular cells: 66.6;Oligodendrocyte precursor cells: 46.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 12.1"	"Minor Salivary Gland - Minor salivary glandular cells"									HPA006136	Approved		Approved	Cytosol			NA	NA				"Cluster 68: Non-specific - Protein processing"	"Cluster 1: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	21	Cytosol		"HPA006136: AB_1856827"	"unprognostic (2.88e-2)"	"unprognostic (1.45e-3)"	"unprognostic (1.35e-2)"	"unprognostic (6.94e-2)"	"unprognostic (2.37e-2)"	"unprognostic (9.55e-2)"	"unprognostic (4.23e-1)"	"unprognostic (1.20e-1)"	"unprognostic (1.14e-1)"	"unprognostic (4.37e-3)"	"unprognostic (9.29e-3)"	"unprognostic (1.01e-1)"	"unprognostic (1.29e-2)"	"unprognostic (9.68e-2)"	"unprognostic (1.37e-2)"	"unprognostic (1.71e-1)"	"unprognostic (1.67e-1)"	"unprognostic (1.63e-2)"		"unprognostic (1.47e-1)"	"unprognostic (4.31e-1)"	"unprognostic (5.96e-3)"	"unprognostic (1.69e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.77e-2)"	"unprognostic (5.32e-2)"	"unprognostic (6.52e-2)"	"unprognostic (2.01e-2)"	"unprognostic (2.93e-1)"	"unprognostic (1.45e-2)"	"unprognostic (1.51e-1)"
SLC16A10	"MCT10, TAT1"	ENSG00000112394	"Solute carrier family 16 member 10"	Q8TF71	6	111087503-111231194	"Metabolic proteins, Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"pancreas: 28.8;skeletal muscle: 39.6"	"Cell type enhanced"	"Detected in many"		"Inhibitory neurons: 45.8;Macrophages: 39.5;Melanocytes: 67.0;monocytes: 63.7;Skeletal myocytes: 88.8"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 788.2"	"Group enriched"	"Detected in many"	4	"Kidney Chromophobe (TCGA): 5.1;Testicular Germ Cell Tumor (TCGA): 18.8"	"Region enhanced"	"Detected in all"		"choroid plexus: 86.5"	"Immune cell enhanced"	"Detected in some"		"naive CD4 T-cell: 1.7;T-reg: 1.6"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Kidney - Proximal tubular cells, Spleen - Macrophages, Stomach - Chief cells, Testis - Spermatocytes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA016860	Approved		Supported	"Vesicles,Cell Junctions"			NA	NA			"Cluster 31: T-cells - T-cell receptor"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 29: Monocytes - Innate immune response"	4	"Vesicles, Cell Junctions"		"HPA016860: AB_2189211"	"unprognostic (8.68e-2)"		"unprognostic (2.87e-1)"	"unprognostic (1.61e-1)"	"unprognostic (2.09e-1)"	"unprognostic (2.90e-1)"	"unprognostic (6.83e-2)"	"unprognostic (6.01e-2)"	"unprognostic (3.31e-1)"	"unprognostic (8.19e-3)"	"unprognostic (1.40e-1)"	"unprognostic (4.88e-2)"	"unprognostic (9.02e-3)"	"unprognostic (1.14e-1)"	"unprognostic (5.38e-2)"	"unprognostic (7.10e-2)"	"unprognostic (4.50e-2)"	"unprognostic (2.07e-1)"	"unprognostic (5.55e-2)"	"unprognostic (7.58e-2)"	"unprognostic (2.18e-1)"	"unprognostic (7.82e-2)"	"unprognostic (6.47e-2)"	"unprognostic (1.49e-1)"	"unprognostic (2.95e-1)"	"unprognostic (3.80e-1)"	"unprognostic (3.01e-2)"	"unprognostic (7.03e-2)"	"unprognostic (1.74e-1)"	"unprognostic (7.89e-2)"	"unprognostic (1.26e-1)"
